provinsi,latitude,longitude,confirmed,recovered,deaths,odp,pdp,last_update
Aceh,4.6951,96.7494,6667,4820,233,0,0,10-19-2020
Sumatera Utara,2.1154,99.5451,12035,9723,503,0,0,10-19-2020
Sumatera Barat,-0.7399,100.8000,11205,6033,202,0,0,10-19-2020
Riau,0.2933,101.7068,11839,7456,267,0,0,10-19-2020
Jambi,-1.4852,102.4381,988,371,19,0,0,10-19-2020
Sumatera Selatan,-3.3194,103.9144,7182,5444,393,0,0,10-19-2020
Bengkulu,-3.5778,102.3464,880,721,44,0,0,10-19-2020
Lampung,-4.5586,105.4068,1340,912,52,0,0,10-19-2020
Kepulauan Bangka Belitung,-2.7411,106.4406,191,173,2,0,0,10-19-2020
Kepulauan Riau,3.9457,108.1429,2883,2284,70,0,0,10-19-2020
Banten,-6.4058,106.0640,7843,5948,236,0,0,10-19-2020
DKI Jakarta,-6.2115,106.8452,95253,80167,2046,0,0,10-19-2020
Jawa Barat,-7.0909,107.6689,30778,20608,580,0,0,10-19-2020
Jawa Tengah,-7.1510,110.1403,29395,23724,1587,0,0,10-19-2020
DI Yogyakarta,-7.8754,110.4262,3343,2690,86,0,0,10-19-2020
Jawa Timur,-7.5361,112.2384,49174,43049,3562,0,0,10-19-2020
Bali,-8.4095,115.1889,10880,9683,349,0,0,10-19-2020
Nusa Tenggara Barat,-8.6529,117.3616,3732,3011,211,0,0,10-19-2020
Nusa Tenggara Timur,-8.6574,121.0794,588,406,7,0,0,10-19-2020
Kalimantan Barat,-0.2788,111.4753,1428,1227,10,0,0,10-19-2020
Kalimantan Tengah,-1.6815,113.3824,4122,3483,145,0,0,10-19-2020
Kalimantan Selatan,-3.0926,115.2838,11446,10075,455,0,0,10-19-2020
Kalimantan Timur,1.6406,116.4194,11970,8825,440,0,0,10-19-2020
Kalimantan Utara,3.0731,116.0414,715,619,6,0,0,10-19-2020
Sulawesi Utara,0.6247,123.9750,5026,4207,188,0,0,10-19-2020
Sulawesi Tengah,-1.4300,121.4456,687,449,27,0,0,10-19-2020
Sulawesi Selatan,-3.6688,119.9741,17526,15033,445,0,0,10-19-2020
Sulawesi Tenggara,-4.1449,122.1746,4275,2676,73,0,0,10-19-2020
Gorontalo,0.6999,122.4467,2969,2797,79,0,0,10-19-2020
Sulawesi Barat,-2.8441,119.2321,952,717,12,0,0,10-19-2020
Maluku,-3.2385,130.1453,3597,2744,43,0,0,10-19-2020
Maluku Utara,1.5710,127.8088,2131,1909,74,0,0,10-19-2020
Papua,-4.2699,138.0804,8239,4438,117,0,0,10-19-2020
Papua Barat,-1.3361,133.1747,3636,2543,49,0,0,10-19-2020
