provinsi,kota,kecamatan,latitude,longitude,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020
Aceh,,,4.6951,96.7494,,,,,,,,,,,,,,,,,,,,,,,,0
Sumatera Utara,,,2.1154,99.5451,,,,,,,,,,,,,,,,,,,,,,,,1
Sumatera Barat,,,-0.7399,100.8000,,,,,,,,,,,,,,,,,,,,,,,,0
Riau,,,0.2933,101.7068,,,,,,,,,,,,,,,,,,,,,,,,0
Jambi,,,-1.4852,102.4381,,,,,,,,,,,,,,,,,,,,,,,,0
Sumatera Selatan,,,-3.3194,103.9144,,,,,,,,,,,,,,,,,,,,,,,,1
Bengkulu,,,-3.5778,102.3464,,,,,,,,,,,,,,,,,,,,,,,,0
Lampung,,,-4.5586,105.4068,,,,,,,,,,,,,,,,,,,,,,,,0
Kepulauan Bangka Belitung,,,-2.7411,106.4406,,,,,,,,,,,,,,,,,,,,,,,,0
Kepulauan Riau,,,3.9457,108.1429,,,,,,,,,,,,,,,,,,,,,,,,1
DKI Jakarta,provinsi,,-6.2115,106.8452,,,,,,,,,,,,,,,,,,,,,,,,31
DKI Jakarta,Kabupaten Kepulauan Seribu,,-5.7985,106.5072,,,,,,,,,,,,,,,,,,,,,,,,0
DKI Jakarta,Kota Jakarta Selatan,,-6.2615,106.8106,,,,,,,,,,,,,,,,,,,,,,,,0
DKI Jakarta,Kota Jakarta Timur,,-6.2250,106.9004,,,,,,,,,,,,,,,,,,,,,,,,0
DKI Jakarta,Kota Jakarta Pusat,,-6.1805,106.8284,,,,,,,,,,,,,,,,,,,,,,,,0
DKI Jakarta,Kota Jakarta Barat,,-6.1674,106.7637,,,,,,,,,,,,,,,,,,,,,,,,0
DKI Jakarta,Kota Jakarta Utara,,-6.1554,106.8927,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Barat,,,-7.0909,107.6689,,,,,,,,,,,,,,,,,,,,,,,,10
Jawa Tengah,,,-7.1510,110.1403,,,,,,,,,,,,,,,,,,,,,,,,4
DI Yogyakarta,,,-7.8754,110.4262,,,,,,,,,,,,,,,,,,,,,,,,2
Jawa Timur,provinsi,,-7.5361,112.2384,,,,,,,,,,,,,,,,,,,,,,,,1
Jawa Timur,Kabupaten Banyuwangi,,-8.2186,114.3669,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Madiun,,-7.6278,111.5055,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Ponorogo,,-7.8678,111.4660,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Magetan,,-7.6493,111.3382,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Pacitan,,-8.2046,111.0877,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Ngawi,,-7.3899,111.4619,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Bangkalan,,-7.0307,112.7450,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Kediri,,-7.8094,112.0324,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Bondowoso,,-7.9177,113.8135,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Blitar,,-8.1014,112.1628,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Trenggalek,,-8.0500,111.7167,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Tulungagung,,-8.0667,111.9000,,,,,,,,,,,,,,,,,,,,,,,,0
Jawa Timur,Kabupaten Nganjuk,,-7.6029,111.9018,,,,,,,,,,,,,,,,,,,,,,,,0
